tag,type,name,id,text,label
input,hidden,csrf,,,ignore
input,hidden,authenticity_token-val,,,ignore
input,,courriel,courriel_id,,username
input,submit,action,submit-btn,Valider,submit
input,password,secret,secret-input,,password
input,search,search,search,,search
input,text,pseudo,pseudo1,,username
input,submit,action,,Enter,submit
a,,,link,Dashboard,link
input,hidden,_token-val,,,ignore
input,email,email,email,,username
input,password,password,password-input,,password
input,search,q,q,,search
input,password,mot_de_passe,mot_de_passe,,password
button,submit,action,btn-primary,Submit,submit
button,button,btn,,Submit,submit
input,password,mot_de_passe,mot_de_passe1,,password
input,submit,submit,btn-primary,Valider,submit
input,hidden,_token-val,,,ignore
input,submit,commit,submit-btn,Valider,submit
input,email,username,username1,,username
input,hidden,form_build_id-val,,,ignore
input,hidden,hidden_field-val,hidden-input,,ignore
input,email,identifiant,identifiant1,,username
input,search,recherche,recherche_id,,search
a,,,link,Profile,link
input,text,user,user-input,,username
input,submit,,login_btn,Connect,submit
button,submit,submit,submit-btn,Envoyer,submit
input,hidden,csrf,csrf,,ignore
input,search,query,query-input,,search
button,button,action,login_btn,S'identifier,submit
a,,,,Privacy,link
input,password,pwd,pwd1,,password
input,hidden,hidden_field,,,ignore
input,hidden,timestamp,,,ignore
input,submit,action,login_btn,Go,submit
a,,,,Profile,link
input,hidden,hidden_field_token,hidden_field,,ignore
a,,,,Dashboard,link
input,text,user_id,user_id1,,username
input,hidden,authenticity_token,,,ignore
input,submit,commit,,Submit,submit
input,text,email,email-input,,username
input,submit,btn,btn-primary,Login,submit
input,hidden,hidden_field-val,hidden-input,,ignore
input,password,mdp,mdp_id,,password
a,,,nav-link,Mon compte,link
input,hidden,hidden_field,,,ignore
input,text,q,q-search,,search
a,,,link,Register,link
input,submit,submit,btn-primary,S'identifier,submit
input,password,mdp,mdp_id,,password
input,submit,submit,submit-btn,Login,submit
input,hidden,timestamp_token,timestamp,,ignore
input,email,user_name,user_name-input,,username
button,submit,btn,login_btn,Go,submit
input,hidden,timestamp-val,,,ignore
input,email,user,user1,,username
input,,pseudo,pseudo,,username
input,search,mot_cle,mot_cle_id,,search
input,text,query,query-input,,search
input,submit,btn,,Connexion,submit
input,submit,btn,submit-btn,Sign In,submit
input,password,mot_de_passe,mot_de_passe,,password
button,,submit,submit-btn,Go,submit
button,button,commit,login_btn,Submit,submit
input,submit,submit,submit-btn,Go,submit
button,submit,commit,btn-primary,S'identifier,submit
input,password,userPassword,userPassword_id,,password
input,email,user_id,user_id1,,username
input,email,uid,uid-input,,username
input,hidden,hidden_field,,,ignore
input,hidden,_token,hidden-input,,ignore
input,,username,username_id,,username
input,text,q,q_id,,search
input,hidden,_token_token,_token,,ignore
input,,uid,uid_id,,username
input,password,password,password-input,,password
input,password,pin,pin_id,,password
input,hidden,_token,hidden-input,,ignore
a,,,menu-item,Mot de passe oublié,link
input,text,query,query-search,,search
input,,pseudo,pseudo1,,username
input,password,pin,pin_id,,password
input,hidden,timestamp,timestamp,,ignore
input,search,query,query,,search
a,,,menu-item,Forgot Password,link
input,hidden,timestamp_token,hidden-input,,ignore
input,submit,commit,btn-primary,Connect,submit
button,submit,btn,submit-btn,S'identifier,submit
input,text,search,search,,search
a,,,menu-item,Mon compte,link
input,hidden,session_token,hidden-input,,ignore
input,hidden,session-val,session,,ignore
input,password,password,password1,,password
input,hidden,timestamp,hidden-input,,ignore
input,hidden,timestamp,,,ignore
input,hidden,authenticity_token-val,hidden-input,,ignore
input,password,mdp,mdp-input,,password
button,button,btn,btn-primary,Login,submit
a,,,menu-item,Terms,link
input,hidden,form_build_id,,,ignore
input,text,courriel,courriel,,username
input,hidden,form_build_id,hidden-input,,ignore
input,text,identifiant,identifiant_id,,username
input,password,userPassword,userPassword,,password
input,hidden,_token-val,hidden-input,,ignore
button,,commit,btn-primary,Login,submit
button,button,submit,submit-btn,Sign In,submit
input,submit,submit,btn-primary,Connexion,submit
input,hidden,timestamp-val,hidden-input,,ignore
input,password,pwd,pwd,,password
input,password,mot_de_passe,mot_de_passe-input,,password
input,email,username,username_id,,username
input,text,mot_cle,mot_cle-search,,search
input,text,term,term_id,,search
input,hidden,viewstate,hidden-input,,ignore
input,hidden,state_token,hidden-input,,ignore
input,,log,log_id,,username
input,hidden,csrf-val,,,ignore
input,text,mot_cle,mot_cle_id,,search
input,hidden,token,hidden-input,,ignore
input,email,login,login1,,username
a,,,link,Mot de passe oublié,link
a,,,menu-item,Dashboard,link
input,password,mdp,mdp-input,,password
input,password,pass,pass-input,,password
input,,user_name,user_name_id,,username
input,hidden,state_token,state,,ignore
input,hidden,captcha_token,hidden-input,,ignore
a,,,menu-item,Mon compte,link
input,hidden,hidden_field,hidden_field,,ignore
input,,username,username_id,,username
input,email,identifiant,identifiant1,,username
input,hidden,form_build_id_token,form_build_id,,ignore
a,,,link,Mon compte,link
input,password,userPassword,userPassword_id,,password
input,text,keyword,keyword,,search
input,hidden,csrf-val,hidden-input,,ignore
input,email,log,log1,,username
button,,btn,submit-btn,Go,submit
input,text,term,term-search,,search
input,email,pseudo,pseudo_id,,username
input,password,user_pass,user_pass-input,,password
input,password,mot_de_passe,mot_de_passe,,password
input,text,mail,mail-input,,username
input,,log,log-input,,username
input,submit,commit,login_btn,Enter,submit
input,hidden,captcha-val,captcha,,ignore
button,button,submit,submit-btn,Envoyer,submit
button,submit,,,Connexion,submit
input,hidden,token_token,token,,ignore
button,,submit,submit-btn,Go,submit
input,password,secret,secret_id,,password
input,email,log,log,,username
a,,,link,About,link
input,password,userPassword,userPassword_id,,password
a,,,,Dashboard,link
input,password,pin,pin1,,password
input,hidden,timestamp,hidden-input,,ignore
input,password,pwd,pwd1,,password
input,password,user_pass,user_pass-input,,password
input,password,mot_de_passe,mot_de_passe_id,,password
input,,user_id,user_id_id,,username
input,,email,email-input,,username
input,search,keyword,keyword_id,,search
input,search,search,search-input,,search
input,hidden,viewstate_token,hidden-input,,ignore
input,submit,,,Valider,submit
input,hidden,token,,,ignore
input,email,login,login,,username
input,password,pin,pin-input,,password
input,hidden,session,hidden-input,,ignore
input,hidden,state-val,,,ignore
input,hidden,authenticity_token_token,hidden-input,,ignore
a,,,,Register,link
input,hidden,_token-val,_token,,ignore
input,password,pass,pass_id,,password
a,,,nav-link,Accueil,link
input,hidden,_token_token,_token,,ignore
input,submit,btn,btn-primary,Envoyer,submit
input,email,uid,uid_id,,username
input,hidden,timestamp_token,,,ignore
a,,,,Terms,link
input,submit,submit,btn-primary,Connect,submit
input,text,courriel,courriel1,,username
a,,,nav-link,Sign up,link
input,,log,log-input,,username
input,search,recherche,recherche_id,,search
input,hidden,token-val,token,,ignore
input,search,term,term-search,,search
input,password,mot_de_passe,mot_de_passe-input,,password
a,,,,Mot de passe oublié,link
input,password,pass,pass,,password
input,text,search,search_id,,search
button,submit,,,Connexion,submit
input,search,keyword,keyword-search,,search
input,email,user_name,user_name_id,,username
input,search,search,search-input,,search
input,password,secret,secret1,,password
input,text,recherche,recherche-search,,search
input,submit,action,,Log In,submit
input,password,pin,pin1,,password
input,hidden,_token-val,,,ignore
input,text,search,search,,search
button,button,,,S'identifier,submit
a,,,link,Home,link
input,submit,action,,Valider,submit
a,,,menu-item,Accueil,link
input,password,mdp,mdp_id,,password
input,text,s,s-input,,search
a,,,menu-item,Terms,link
a,,,nav-link,Mon compte,link
