scenario_description,selenium_script
"ecommerce_search: field #search-input, button #submit-search | search specific product","driver.find_element(By.ID, 'search-input').send_keys('produit test')
driver.find_element(By.ID, 'submit-search').click()
WebDriverWait(driver, 10).until(EC.presence_of_element_located((By.CLASS_NAME, 'product-list')))
assert len(driver.find_elements(By.CLASS_NAME, 'product-item')) > 0"
"ecommerce_search: field #search-input, button #search-icon | search specific product","driver.find_element(By.ID, 'search-input').send_keys('produit test')
driver.find_element(By.ID, 'search-icon').click()
WebDriverWait(driver, 10).until(EC.presence_of_element_located((By.CLASS_NAME, 'product-list')))
assert len(driver.find_elements(By.CLASS_NAME, 'product-item')) > 0"
"ecommerce_search: field #search-input, button #submit-search | search specific product","driver.find_element(By.ID, 'search-input').send_keys('produit test')
driver.find_element(By.ID, 'submit-search').click()
WebDriverWait(driver, 10).until(EC.presence_of_element_located((By.CLASS_NAME, 'product-list')))
assert len(driver.find_elements(By.CLASS_NAME, 'product-item')) > 0"
"auth_register: field #login-input, field #pass-input, button #connect | valid registration","driver.find_element(By.ID, 'login-input').send_keys('newuser@test.com')
driver.find_element(By.ID, 'pass-input').send_keys('TestPass123!')
driver.find_element(By.ID, 'connect').click()
WebDriverWait(driver, 10).until(EC.url_contains('verify'))
assert 'verify' in driver.current_url"
"auth_login: field #email, field #secret, button #login-btn | valid credentials","driver.find_element(By.ID, 'email').send_keys('user@test.com')
driver.find_element(By.ID, 'secret').send_keys('Password123!')
driver.find_element(By.ID, 'login-btn').click()
WebDriverWait(driver, 10).until(EC.url_contains('dashboard'))
assert 'dashboard' in driver.current_url"
"ecommerce_search: field #search-bar, button #find-btn | search specific product","driver.find_element(By.ID, 'search-bar').send_keys('produit test')
driver.find_element(By.ID, 'find-btn').click()
WebDriverWait(driver, 10).until(EC.presence_of_element_located((By.CLASS_NAME, 'product-list')))
assert len(driver.find_elements(By.CLASS_NAME, 'product-item')) > 0"
"auth_login: field #username, field #password, button #login-btn | invalid credentials","driver.find_element(By.ID, 'username').send_keys('wrong@test.com')
driver.find_element(By.ID, 'password').send_keys('wrongpassword')
driver.find_element(By.ID, 'login-btn').click()
error_msg = WebDriverWait(driver, 5).until(EC.visibility_of_element_located((By.CLASS_NAME, 'error-message')))
assert error_msg.is_displayed()"
"auth_register: field #user, field #user-pass, button #signup | valid registration","driver.find_element(By.ID, 'user').send_keys('newuser@test.com')
driver.find_element(By.ID, 'user-pass').send_keys('TestPass123!')
driver.find_element(By.ID, 'signup').click()
WebDriverWait(driver, 10).until(EC.url_contains('verify'))
assert 'verify' in driver.current_url"
navigation_menu: link #nav-home | navigate to section,"driver.find_element(By.ID, 'nav-home').click()
WebDriverWait(driver, 5).until(EC.url_changes(driver.current_url))
assert 'home' in driver.current_url"
"auth_login: field #username, field #user-pass, button #register-btn | valid credentials","driver.find_element(By.ID, 'username').send_keys('user@test.com')
driver.find_element(By.ID, 'user-pass').send_keys('Password123!')
driver.find_element(By.ID, 'register-btn').click()
WebDriverWait(driver, 10).until(EC.url_contains('dashboard'))
assert 'dashboard' in driver.current_url"
"auth_login: field #login-input, field #password, button #connect | valid credentials","driver.find_element(By.ID, 'login-input').send_keys('user@test.com')
driver.find_element(By.ID, 'password').send_keys('Password123!')
driver.find_element(By.ID, 'connect').click()
WebDriverWait(driver, 10).until(EC.url_contains('dashboard'))
assert 'dashboard' in driver.current_url"
"auth_login: field #username, field #pwd, button #sign-in | valid credentials","driver.find_element(By.ID, 'username').send_keys('user@test.com')
driver.find_element(By.ID, 'pwd').send_keys('Password123!')
driver.find_element(By.ID, 'sign-in').click()
WebDriverWait(driver, 10).until(EC.url_contains('dashboard'))
assert 'dashboard' in driver.current_url"
"auth_login: field #identifier, field #user-pass, button #signup | invalid credentials","driver.find_element(By.ID, 'identifier').send_keys('wrong@test.com')
driver.find_element(By.ID, 'user-pass').send_keys('wrongpassword')
driver.find_element(By.ID, 'signup').click()
error_msg = WebDriverWait(driver, 5).until(EC.visibility_of_element_located((By.CLASS_NAME, 'error-message')))
assert error_msg.is_displayed()"
navigation_menu: link #nav-settings | navigate to section,"driver.find_element(By.ID, 'nav-settings').click()
WebDriverWait(driver, 5).until(EC.url_changes(driver.current_url))
assert 'settings' in driver.current_url"
"auth_register: field #login-input, field #password, button #signup | valid registration","driver.find_element(By.ID, 'login-input').send_keys('newuser@test.com')
driver.find_element(By.ID, 'password').send_keys('TestPass123!')
driver.find_element(By.ID, 'signup').click()
WebDriverWait(driver, 10).until(EC.url_contains('verify'))
assert 'verify' in driver.current_url"
"auth_login: field #username, field #pwd, button #login-btn | valid credentials","driver.find_element(By.ID, 'username').send_keys('user@test.com')
driver.find_element(By.ID, 'pwd').send_keys('Password123!')
driver.find_element(By.ID, 'login-btn').click()
WebDriverWait(driver, 10).until(EC.url_contains('dashboard'))
assert 'dashboard' in driver.current_url"
"auth_login: field #identifier, field #password, button #signup | valid credentials","driver.find_element(By.ID, 'identifier').send_keys('user@test.com')
driver.find_element(By.ID, 'password').send_keys('Password123!')
driver.find_element(By.ID, 'signup').click()
WebDriverWait(driver, 10).until(EC.url_contains('dashboard'))
assert 'dashboard' in driver.current_url"
"ecommerce_search: field #search-input, button #search-icon | search specific product","driver.find_element(By.ID, 'search-input').send_keys('produit test')
driver.find_element(By.ID, 'search-icon').click()
WebDriverWait(driver, 10).until(EC.presence_of_element_located((By.CLASS_NAME, 'product-list')))
assert len(driver.find_elements(By.CLASS_NAME, 'product-item')) > 0"
"auth_login: field #user, field #secret, button #connect | valid credentials","driver.find_element(By.ID, 'user').send_keys('user@test.com')
driver.find_element(By.ID, 'secret').send_keys('Password123!')
driver.find_element(By.ID, 'connect').click()
WebDriverWait(driver, 10).until(EC.url_contains('dashboard'))
assert 'dashboard' in driver.current_url"
"auth_login: field #username, field #user-pass, button #register-btn | valid credentials","driver.find_element(By.ID, 'username').send_keys('user@test.com')
driver.find_element(By.ID, 'user-pass').send_keys('Password123!')
driver.find_element(By.ID, 'register-btn').click()
WebDriverWait(driver, 10).until(EC.url_contains('dashboard'))
assert 'dashboard' in driver.current_url"
"auth_login: field #login-input, field #password, button #signup | valid credentials","driver.find_element(By.ID, 'login-input').send_keys('user@test.com')
driver.find_element(By.ID, 'password').send_keys('Password123!')
driver.find_element(By.ID, 'signup').click()
WebDriverWait(driver, 10).until(EC.url_contains('dashboard'))
assert 'dashboard' in driver.current_url"
"auth_register: field #email, field #pass-input, button #login-btn | valid registration","driver.find_element(By.ID, 'email').send_keys('newuser@test.com')
driver.find_element(By.ID, 'pass-input').send_keys('TestPass123!')
driver.find_element(By.ID, 'login-btn').click()
WebDriverWait(driver, 10).until(EC.url_contains('verify'))
assert 'verify' in driver.current_url"
navigation_menu: link #nav-contact | navigate to section,"driver.find_element(By.ID, 'nav-contact').click()
WebDriverWait(driver, 5).until(EC.url_changes(driver.current_url))
assert 'contact' in driver.current_url"
"auth_login: field #identifier, field #pass-input, button #connect | valid credentials","driver.find_element(By.ID, 'identifier').send_keys('user@test.com')
driver.find_element(By.ID, 'pass-input').send_keys('Password123!')
driver.find_element(By.ID, 'connect').click()
WebDriverWait(driver, 10).until(EC.url_contains('dashboard'))
assert 'dashboard' in driver.current_url"
"auth_register: field #login-input, field #password, button #connect | valid registration","driver.find_element(By.ID, 'login-input').send_keys('newuser@test.com')
driver.find_element(By.ID, 'password').send_keys('TestPass123!')
driver.find_element(By.ID, 'connect').click()
WebDriverWait(driver, 10).until(EC.url_contains('verify'))
assert 'verify' in driver.current_url"
"auth_login: field #username, field #secret, button #sign-in | valid credentials","driver.find_element(By.ID, 'username').send_keys('user@test.com')
driver.find_element(By.ID, 'secret').send_keys('Password123!')
driver.find_element(By.ID, 'sign-in').click()
WebDriverWait(driver, 10).until(EC.url_contains('dashboard'))
assert 'dashboard' in driver.current_url"
"ecommerce_search: field #search-input, button #search-submit | search specific product","driver.find_element(By.ID, 'search-input').send_keys('produit test')
driver.find_element(By.ID, 'search-submit').click()
WebDriverWait(driver, 10).until(EC.presence_of_element_located((By.CLASS_NAME, 'product-list')))
assert len(driver.find_elements(By.CLASS_NAME, 'product-item')) > 0"
navigation_menu: link #nav-home | navigate to section,"driver.find_element(By.ID, 'nav-home').click()
WebDriverWait(driver, 5).until(EC.url_changes(driver.current_url))
assert 'home' in driver.current_url"
"auth_login: field #user, field #secret, button #login-btn | valid credentials","driver.find_element(By.ID, 'user').send_keys('user@test.com')
driver.find_element(By.ID, 'secret').send_keys('Password123!')
driver.find_element(By.ID, 'login-btn').click()
WebDriverWait(driver, 10).until(EC.url_contains('dashboard'))
assert 'dashboard' in driver.current_url"
"auth_login: field #username, field #user-pass, button #login-btn | valid credentials","driver.find_element(By.ID, 'username').send_keys('user@test.com')
driver.find_element(By.ID, 'user-pass').send_keys('Password123!')
driver.find_element(By.ID, 'login-btn').click()
WebDriverWait(driver, 10).until(EC.url_contains('dashboard'))
assert 'dashboard' in driver.current_url"
"auth_register: field #identifier, field #pass-input, button #connect | valid registration","driver.find_element(By.ID, 'identifier').send_keys('newuser@test.com')
driver.find_element(By.ID, 'pass-input').send_keys('TestPass123!')
driver.find_element(By.ID, 'connect').click()
WebDriverWait(driver, 10).until(EC.url_contains('verify'))
assert 'verify' in driver.current_url"
"ecommerce_search: field #search-bar, button #submit-search | search specific product","driver.find_element(By.ID, 'search-bar').send_keys('produit test')
driver.find_element(By.ID, 'submit-search').click()
WebDriverWait(driver, 10).until(EC.presence_of_element_located((By.CLASS_NAME, 'product-list')))
assert len(driver.find_elements(By.CLASS_NAME, 'product-item')) > 0"
"auth_register: field #user, field #pass-input, button #register-btn | valid registration","driver.find_element(By.ID, 'user').send_keys('newuser@test.com')
driver.find_element(By.ID, 'pass-input').send_keys('TestPass123!')
driver.find_element(By.ID, 'register-btn').click()
WebDriverWait(driver, 10).until(EC.url_contains('verify'))
assert 'verify' in driver.current_url"
"auth_login: field #username, field #user-pass, button #auth-button | valid credentials","driver.find_element(By.ID, 'username').send_keys('user@test.com')
driver.find_element(By.ID, 'user-pass').send_keys('Password123!')
driver.find_element(By.ID, 'auth-button').click()
WebDriverWait(driver, 10).until(EC.url_contains('dashboard'))
assert 'dashboard' in driver.current_url"
"ecommerce_search: field #search-input, button #submit-search | search specific product","driver.find_element(By.ID, 'search-input').send_keys('produit test')
driver.find_element(By.ID, 'submit-search').click()
WebDriverWait(driver, 10).until(EC.presence_of_element_located((By.CLASS_NAME, 'product-list')))
assert len(driver.find_elements(By.CLASS_NAME, 'product-item')) > 0"
"auth_login: field #identifier, field #user-pass, button #signup | valid credentials","driver.find_element(By.ID, 'identifier').send_keys('user@test.com')
driver.find_element(By.ID, 'user-pass').send_keys('Password123!')
driver.find_element(By.ID, 'signup').click()
WebDriverWait(driver, 10).until(EC.url_contains('dashboard'))
assert 'dashboard' in driver.current_url"
"ecommerce_search: field #search-bar, button #search-icon | search specific product","driver.find_element(By.ID, 'search-bar').send_keys('produit test')
driver.find_element(By.ID, 'search-icon').click()
WebDriverWait(driver, 10).until(EC.presence_of_element_located((By.CLASS_NAME, 'product-list')))
assert len(driver.find_elements(By.CLASS_NAME, 'product-item')) > 0"
"auth_login: field #login-input, field #password, button #sign-in | valid credentials","driver.find_element(By.ID, 'login-input').send_keys('user@test.com')
driver.find_element(By.ID, 'password').send_keys('Password123!')
driver.find_element(By.ID, 'sign-in').click()
WebDriverWait(driver, 10).until(EC.url_contains('dashboard'))
assert 'dashboard' in driver.current_url"
"auth_login: field #email, field #password, button #submit-login | invalid credentials","driver.find_element(By.ID, 'email').send_keys('wrong@test.com')
driver.find_element(By.ID, 'password').send_keys('wrongpassword')
driver.find_element(By.ID, 'submit-login').click()
error_msg = WebDriverWait(driver, 5).until(EC.visibility_of_element_located((By.CLASS_NAME, 'error-message')))
assert error_msg.is_displayed()"
"auth_register: field #user, field #pass-input, button #submit-login | valid registration","driver.find_element(By.ID, 'user').send_keys('newuser@test.com')
driver.find_element(By.ID, 'pass-input').send_keys('TestPass123!')
driver.find_element(By.ID, 'submit-login').click()
WebDriverWait(driver, 10).until(EC.url_contains('verify'))
assert 'verify' in driver.current_url"
"auth_login: field #user, field #pwd, button #login-btn | valid credentials","driver.find_element(By.ID, 'user').send_keys('user@test.com')
driver.find_element(By.ID, 'pwd').send_keys('Password123!')
driver.find_element(By.ID, 'login-btn').click()
WebDriverWait(driver, 10).until(EC.url_contains('dashboard'))
assert 'dashboard' in driver.current_url"
navigation_menu: link #nav-profile | navigate to section,"driver.find_element(By.ID, 'nav-profile').click()
WebDriverWait(driver, 5).until(EC.url_changes(driver.current_url))
assert 'profile' in driver.current_url"
navigation_menu: link #nav-settings | navigate to section,"driver.find_element(By.ID, 'nav-settings').click()
WebDriverWait(driver, 5).until(EC.url_changes(driver.current_url))
assert 'settings' in driver.current_url"
navigation_menu: link #nav-contact | navigate to section,"driver.find_element(By.ID, 'nav-contact').click()
WebDriverWait(driver, 5).until(EC.url_changes(driver.current_url))
assert 'contact' in driver.current_url"
"auth_login: field #username, field #pass-input, button #submit-login | valid credentials","driver.find_element(By.ID, 'username').send_keys('user@test.com')
driver.find_element(By.ID, 'pass-input').send_keys('Password123!')
driver.find_element(By.ID, 'submit-login').click()
WebDriverWait(driver, 10).until(EC.url_contains('dashboard'))
assert 'dashboard' in driver.current_url"
"auth_login: field #username, field #pwd, button #auth-button | valid credentials","driver.find_element(By.ID, 'username').send_keys('user@test.com')
driver.find_element(By.ID, 'pwd').send_keys('Password123!')
driver.find_element(By.ID, 'auth-button').click()
WebDriverWait(driver, 10).until(EC.url_contains('dashboard'))
assert 'dashboard' in driver.current_url"
"auth_login: field #user, field #pwd, button #login-btn | invalid credentials","driver.find_element(By.ID, 'user').send_keys('wrong@test.com')
driver.find_element(By.ID, 'pwd').send_keys('wrongpassword')
driver.find_element(By.ID, 'login-btn').click()
error_msg = WebDriverWait(driver, 5).until(EC.visibility_of_element_located((By.CLASS_NAME, 'error-message')))
assert error_msg.is_displayed()"
"auth_login: field #username, field #user-pass, button #login-btn | invalid credentials","driver.find_element(By.ID, 'username').send_keys('wrong@test.com')
driver.find_element(By.ID, 'user-pass').send_keys('wrongpassword')
driver.find_element(By.ID, 'login-btn').click()
error_msg = WebDriverWait(driver, 5).until(EC.visibility_of_element_located((By.CLASS_NAME, 'error-message')))
assert error_msg.is_displayed()"
navigation_menu: link #nav-contact | navigate to section,"driver.find_element(By.ID, 'nav-contact').click()
WebDriverWait(driver, 5).until(EC.url_changes(driver.current_url))
assert 'contact' in driver.current_url"
navigation_menu: link #nav-profile | navigate to section,"driver.find_element(By.ID, 'nav-profile').click()
WebDriverWait(driver, 5).until(EC.url_changes(driver.current_url))
assert 'profile' in driver.current_url"
"ecommerce_search: field #query, button #search-submit | search specific product","driver.find_element(By.ID, 'query').send_keys('produit test')
driver.find_element(By.ID, 'search-submit').click()
WebDriverWait(driver, 10).until(EC.presence_of_element_located((By.CLASS_NAME, 'product-list')))
assert len(driver.find_elements(By.CLASS_NAME, 'product-item')) > 0"
"auth_login: field #login-input, field #pass-input, button #signup | valid credentials","driver.find_element(By.ID, 'login-input').send_keys('user@test.com')
driver.find_element(By.ID, 'pass-input').send_keys('Password123!')
driver.find_element(By.ID, 'signup').click()
WebDriverWait(driver, 10).until(EC.url_contains('dashboard'))
assert 'dashboard' in driver.current_url"
"ecommerce_search: field #search-input, button #submit-search | search specific product","driver.find_element(By.ID, 'search-input').send_keys('produit test')
driver.find_element(By.ID, 'submit-search').click()
WebDriverWait(driver, 10).until(EC.presence_of_element_located((By.CLASS_NAME, 'product-list')))
assert len(driver.find_elements(By.CLASS_NAME, 'product-item')) > 0"
"auth_login: field #username, field #pwd, button #submit-login | valid credentials","driver.find_element(By.ID, 'username').send_keys('user@test.com')
driver.find_element(By.ID, 'pwd').send_keys('Password123!')
driver.find_element(By.ID, 'submit-login').click()
WebDriverWait(driver, 10).until(EC.url_contains('dashboard'))
assert 'dashboard' in driver.current_url"
"auth_login: field #user, field #pass-input, button #submit-login | valid credentials","driver.find_element(By.ID, 'user').send_keys('user@test.com')
driver.find_element(By.ID, 'pass-input').send_keys('Password123!')
driver.find_element(By.ID, 'submit-login').click()
WebDriverWait(driver, 10).until(EC.url_contains('dashboard'))
assert 'dashboard' in driver.current_url"
"auth_register: field #email, field #password, button #auth-button | valid registration","driver.find_element(By.ID, 'email').send_keys('newuser@test.com')
driver.find_element(By.ID, 'password').send_keys('TestPass123!')
driver.find_element(By.ID, 'auth-button').click()
WebDriverWait(driver, 10).until(EC.url_contains('verify'))
assert 'verify' in driver.current_url"
"auth_register: field #user, field #user-pass, button #login-btn | valid registration","driver.find_element(By.ID, 'user').send_keys('newuser@test.com')
driver.find_element(By.ID, 'user-pass').send_keys('TestPass123!')
driver.find_element(By.ID, 'login-btn').click()
WebDriverWait(driver, 10).until(EC.url_contains('verify'))
assert 'verify' in driver.current_url"
"ecommerce_search: field #query, button #search-submit | search specific product","driver.find_element(By.ID, 'query').send_keys('produit test')
driver.find_element(By.ID, 'search-submit').click()
WebDriverWait(driver, 10).until(EC.presence_of_element_located((By.CLASS_NAME, 'product-list')))
assert len(driver.find_elements(By.CLASS_NAME, 'product-item')) > 0"
"ecommerce_search: field #q, button #submit-search | search specific product","driver.find_element(By.ID, 'q').send_keys('produit test')
driver.find_element(By.ID, 'submit-search').click()
WebDriverWait(driver, 10).until(EC.presence_of_element_located((By.CLASS_NAME, 'product-list')))
assert len(driver.find_elements(By.CLASS_NAME, 'product-item')) > 0"
"ecommerce_search: field #q, button #search-icon | search specific product","driver.find_element(By.ID, 'q').send_keys('produit test')
driver.find_element(By.ID, 'search-icon').click()
WebDriverWait(driver, 10).until(EC.presence_of_element_located((By.CLASS_NAME, 'product-list')))
assert len(driver.find_elements(By.CLASS_NAME, 'product-item')) > 0"
"auth_register: field #login-input, field #user-pass, button #auth-button | valid registration","driver.find_element(By.ID, 'login-input').send_keys('newuser@test.com')
driver.find_element(By.ID, 'user-pass').send_keys('TestPass123!')
driver.find_element(By.ID, 'auth-button').click()
WebDriverWait(driver, 10).until(EC.url_contains('verify'))
assert 'verify' in driver.current_url"
navigation_menu: link #nav-home | navigate to section,"driver.find_element(By.ID, 'nav-home').click()
WebDriverWait(driver, 5).until(EC.url_changes(driver.current_url))
assert 'home' in driver.current_url"
navigation_menu: link #nav-contact | navigate to section,"driver.find_element(By.ID, 'nav-contact').click()
WebDriverWait(driver, 5).until(EC.url_changes(driver.current_url))
assert 'contact' in driver.current_url"
navigation_menu: link #nav-contact | navigate to section,"driver.find_element(By.ID, 'nav-contact').click()
WebDriverWait(driver, 5).until(EC.url_changes(driver.current_url))
assert 'contact' in driver.current_url"
"auth_register: field #user, field #pwd, button #register-btn | valid registration","driver.find_element(By.ID, 'user').send_keys('newuser@test.com')
driver.find_element(By.ID, 'pwd').send_keys('TestPass123!')
driver.find_element(By.ID, 'register-btn').click()
WebDriverWait(driver, 10).until(EC.url_contains('verify'))
assert 'verify' in driver.current_url"
"auth_login: field #identifier, field #user-pass, button #connect | invalid credentials","driver.find_element(By.ID, 'identifier').send_keys('wrong@test.com')
driver.find_element(By.ID, 'user-pass').send_keys('wrongpassword')
driver.find_element(By.ID, 'connect').click()
error_msg = WebDriverWait(driver, 5).until(EC.visibility_of_element_located((By.CLASS_NAME, 'error-message')))
assert error_msg.is_displayed()"
"auth_login: field #username, field #pwd, button #sign-in | valid credentials","driver.find_element(By.ID, 'username').send_keys('user@test.com')
driver.find_element(By.ID, 'pwd').send_keys('Password123!')
driver.find_element(By.ID, 'sign-in').click()
WebDriverWait(driver, 10).until(EC.url_contains('dashboard'))
assert 'dashboard' in driver.current_url"
navigation_menu: link #nav-profile | navigate to section,"driver.find_element(By.ID, 'nav-profile').click()
WebDriverWait(driver, 5).until(EC.url_changes(driver.current_url))
assert 'profile' in driver.current_url"
"auth_login: field #identifier, field #password, button #connect | invalid credentials","driver.find_element(By.ID, 'identifier').send_keys('wrong@test.com')
driver.find_element(By.ID, 'password').send_keys('wrongpassword')
driver.find_element(By.ID, 'connect').click()
error_msg = WebDriverWait(driver, 5).until(EC.visibility_of_element_located((By.CLASS_NAME, 'error-message')))
assert error_msg.is_displayed()"
"ecommerce_search: field #search-bar, button #submit-search | search specific product","driver.find_element(By.ID, 'search-bar').send_keys('produit test')
driver.find_element(By.ID, 'submit-search').click()
WebDriverWait(driver, 10).until(EC.presence_of_element_located((By.CLASS_NAME, 'product-list')))
assert len(driver.find_elements(By.CLASS_NAME, 'product-item')) > 0"
"auth_login: field #identifier, field #password, button #auth-button | invalid credentials","driver.find_element(By.ID, 'identifier').send_keys('wrong@test.com')
driver.find_element(By.ID, 'password').send_keys('wrongpassword')
driver.find_element(By.ID, 'auth-button').click()
error_msg = WebDriverWait(driver, 5).until(EC.visibility_of_element_located((By.CLASS_NAME, 'error-message')))
assert error_msg.is_displayed()"
"ecommerce_search: field #q, button #submit-search | search specific product","driver.find_element(By.ID, 'q').send_keys('produit test')
driver.find_element(By.ID, 'submit-search').click()
WebDriverWait(driver, 10).until(EC.presence_of_element_located((By.CLASS_NAME, 'product-list')))
assert len(driver.find_elements(By.CLASS_NAME, 'product-item')) > 0"
"auth_register: field #user, field #pwd, button #signup | valid registration","driver.find_element(By.ID, 'user').send_keys('newuser@test.com')
driver.find_element(By.ID, 'pwd').send_keys('TestPass123!')
driver.find_element(By.ID, 'signup').click()
WebDriverWait(driver, 10).until(EC.url_contains('verify'))
assert 'verify' in driver.current_url"
navigation_menu: link #nav-profile | navigate to section,"driver.find_element(By.ID, 'nav-profile').click()
WebDriverWait(driver, 5).until(EC.url_changes(driver.current_url))
assert 'profile' in driver.current_url"
"auth_login: field #username, field #password, button #connect | invalid credentials","driver.find_element(By.ID, 'username').send_keys('wrong@test.com')
driver.find_element(By.ID, 'password').send_keys('wrongpassword')
driver.find_element(By.ID, 'connect').click()
error_msg = WebDriverWait(driver, 5).until(EC.visibility_of_element_located((By.CLASS_NAME, 'error-message')))
assert error_msg.is_displayed()"
"auth_login: field #login-input, field #user-pass, button #login-btn | invalid credentials","driver.find_element(By.ID, 'login-input').send_keys('wrong@test.com')
driver.find_element(By.ID, 'user-pass').send_keys('wrongpassword')
driver.find_element(By.ID, 'login-btn').click()
error_msg = WebDriverWait(driver, 5).until(EC.visibility_of_element_located((By.CLASS_NAME, 'error-message')))
assert error_msg.is_displayed()"
"auth_login: field #email, field #password, button #auth-button | valid credentials","driver.find_element(By.ID, 'email').send_keys('user@test.com')
driver.find_element(By.ID, 'password').send_keys('Password123!')
driver.find_element(By.ID, 'auth-button').click()
WebDriverWait(driver, 10).until(EC.url_contains('dashboard'))
assert 'dashboard' in driver.current_url"
"auth_register: field #identifier, field #user-pass, button #auth-button | valid registration","driver.find_element(By.ID, 'identifier').send_keys('newuser@test.com')
driver.find_element(By.ID, 'user-pass').send_keys('TestPass123!')
driver.find_element(By.ID, 'auth-button').click()
WebDriverWait(driver, 10).until(EC.url_contains('verify'))
assert 'verify' in driver.current_url"
"ecommerce_search: field #search-input, button #find-btn | search specific product","driver.find_element(By.ID, 'search-input').send_keys('produit test')
driver.find_element(By.ID, 'find-btn').click()
WebDriverWait(driver, 10).until(EC.presence_of_element_located((By.CLASS_NAME, 'product-list')))
assert len(driver.find_elements(By.CLASS_NAME, 'product-item')) > 0"
"auth_login: field #email, field #secret, button #submit-login | valid credentials","driver.find_element(By.ID, 'email').send_keys('user@test.com')
driver.find_element(By.ID, 'secret').send_keys('Password123!')
driver.find_element(By.ID, 'submit-login').click()
WebDriverWait(driver, 10).until(EC.url_contains('dashboard'))
assert 'dashboard' in driver.current_url"
"auth_login: field #login-input, field #password, button #login-btn | invalid credentials","driver.find_element(By.ID, 'login-input').send_keys('wrong@test.com')
driver.find_element(By.ID, 'password').send_keys('wrongpassword')
driver.find_element(By.ID, 'login-btn').click()
error_msg = WebDriverWait(driver, 5).until(EC.visibility_of_element_located((By.CLASS_NAME, 'error-message')))
assert error_msg.is_displayed()"
"auth_login: field #email, field #user-pass, button #auth-button | invalid credentials","driver.find_element(By.ID, 'email').send_keys('wrong@test.com')
driver.find_element(By.ID, 'user-pass').send_keys('wrongpassword')
driver.find_element(By.ID, 'auth-button').click()
error_msg = WebDriverWait(driver, 5).until(EC.visibility_of_element_located((By.CLASS_NAME, 'error-message')))
assert error_msg.is_displayed()"
"auth_login: field #identifier, field #password, button #sign-in | invalid credentials","driver.find_element(By.ID, 'identifier').send_keys('wrong@test.com')
driver.find_element(By.ID, 'password').send_keys('wrongpassword')
driver.find_element(By.ID, 'sign-in').click()
error_msg = WebDriverWait(driver, 5).until(EC.visibility_of_element_located((By.CLASS_NAME, 'error-message')))
assert error_msg.is_displayed()"
"ecommerce_search: field #search-bar, button #submit-search | search specific product","driver.find_element(By.ID, 'search-bar').send_keys('produit test')
driver.find_element(By.ID, 'submit-search').click()
WebDriverWait(driver, 10).until(EC.presence_of_element_located((By.CLASS_NAME, 'product-list')))
assert len(driver.find_elements(By.CLASS_NAME, 'product-item')) > 0"
"auth_login: field #identifier, field #pwd, button #register-btn | valid credentials","driver.find_element(By.ID, 'identifier').send_keys('user@test.com')
driver.find_element(By.ID, 'pwd').send_keys('Password123!')
driver.find_element(By.ID, 'register-btn').click()
WebDriverWait(driver, 10).until(EC.url_contains('dashboard'))
assert 'dashboard' in driver.current_url"
"auth_register: field #user, field #pwd, button #submit-login | valid registration","driver.find_element(By.ID, 'user').send_keys('newuser@test.com')
driver.find_element(By.ID, 'pwd').send_keys('TestPass123!')
driver.find_element(By.ID, 'submit-login').click()
WebDriverWait(driver, 10).until(EC.url_contains('verify'))
assert 'verify' in driver.current_url"
"ecommerce_search: field #search-bar, button #search-submit | search specific product","driver.find_element(By.ID, 'search-bar').send_keys('produit test')
driver.find_element(By.ID, 'search-submit').click()
WebDriverWait(driver, 10).until(EC.presence_of_element_located((By.CLASS_NAME, 'product-list')))
assert len(driver.find_elements(By.CLASS_NAME, 'product-item')) > 0"
"auth_login: field #email, field #pwd, button #auth-button | invalid credentials","driver.find_element(By.ID, 'email').send_keys('wrong@test.com')
driver.find_element(By.ID, 'pwd').send_keys('wrongpassword')
driver.find_element(By.ID, 'auth-button').click()
error_msg = WebDriverWait(driver, 5).until(EC.visibility_of_element_located((By.CLASS_NAME, 'error-message')))
assert error_msg.is_displayed()"
"auth_register: field #login-input, field #secret, button #submit-login | valid registration","driver.find_element(By.ID, 'login-input').send_keys('newuser@test.com')
driver.find_element(By.ID, 'secret').send_keys('TestPass123!')
driver.find_element(By.ID, 'submit-login').click()
WebDriverWait(driver, 10).until(EC.url_contains('verify'))
assert 'verify' in driver.current_url"
"auth_login: field #username, field #pass-input, button #login-btn | invalid credentials","driver.find_element(By.ID, 'username').send_keys('wrong@test.com')
driver.find_element(By.ID, 'pass-input').send_keys('wrongpassword')
driver.find_element(By.ID, 'login-btn').click()
error_msg = WebDriverWait(driver, 5).until(EC.visibility_of_element_located((By.CLASS_NAME, 'error-message')))
assert error_msg.is_displayed()"
"auth_register: field #user, field #pass-input, button #sign-in | valid registration","driver.find_element(By.ID, 'user').send_keys('newuser@test.com')
driver.find_element(By.ID, 'pass-input').send_keys('TestPass123!')
driver.find_element(By.ID, 'sign-in').click()
WebDriverWait(driver, 10).until(EC.url_contains('verify'))
assert 'verify' in driver.current_url"
"auth_register: field #login-input, field #pwd, button #connect | valid registration","driver.find_element(By.ID, 'login-input').send_keys('newuser@test.com')
driver.find_element(By.ID, 'pwd').send_keys('TestPass123!')
driver.find_element(By.ID, 'connect').click()
WebDriverWait(driver, 10).until(EC.url_contains('verify'))
assert 'verify' in driver.current_url"
